Samples - Plot 0,Voltage (V) - Plot 0
1164,0.0784176
1165,0.0784109
1166,0.0784277
1167,0.0784014
1168,0.0784021
1169,0.0784196
1170,0.0784132
1171,0.0784249
1172,0.078386
1173,0.0784197
1174,0.0784064
1175,0.07842
1176,0.0784208
1177,0.0784202
1178,0.0784377
1179,0.0784187
1180,0.0784124
1181,0.0784225
1182,0.0784245
1183,0.0784007
1184,0.0783936
1185,0.0784037
1186,0.0783901
1187,0.0783899
1188,0.0783946
1189,0.0784128
1190,0.0783859
1191,0.0783942
1192,0.0783993
1193,0.078405
1194,0.0784108
1195,0.0784267
1196,0.0784161
1197,0.0784342
1198,0.0784235
1199,0.0783954
1200,0.0784089
1201,0.0784298
1202,0.0784188
1203,0.0784111
1204,0.0784102
1205,0.0783986
1206,0.078403
1207,0.078432
1208,0.0784132
1209,0.0784143
1210,0.078415
1211,0.0784055
1212,0.0783964
1213,0.0784122
1214,0.0784225
1215,0.0784337
1216,0.078424
1217,0.0784533
1218,0.0783948
1219,0.0784033
1220,0.0784227
1221,0.0784199
1222,0.0784264
1223,0.0784203
1224,0.0783974
1225,0.0784277
1226,0.0784106
1227,0.0784174
1228,0.0784275
1229,0.0784275
1230,0.0784133
1231,0.0784094
1232,0.0783871
1233,0.0784115
1234,0.0784556
1235,0.0784093
1236,0.0783841
1237,0.0784001
1238,0.0784123
1239,0.0783823
1240,0.0784036
1241,0.0784095
1242,0.0783854
1243,0.0784155
1244,0.0784066
1245,0.0783987
1246,0.0784079
1247,0.0784108
1248,0.0784181
1249,0.0784059
1250,0.0783778
1251,0.0784222
1252,0.0784143
1253,0.0783851
1254,0.0784116
1255,0.078404
1256,0.0783578
1257,0.0784068
1258,0.0783839
1259,0.0783929
1260,0.0784057
1261,0.078399
1262,0.078379
1263,0.0783973
1264,0.0783908
1265,0.0784342
1266,0.0783988
1267,0.0784059
1268,0.0784011
1269,0.0784283
1270,0.0783882
1271,0.0784123
1272,0.0784213
1273,0.0784018
1274,0.0784143
