Date,Open,High,Low,Close,Adj Close,Volume
2013-06-12,393.000000,398.524994,391.500000,395.649994,363.484833,952942
2013-06-13,391.000000,396.250000,390.500000,394.575012,362.497223,551156
2013-06-14,397.500000,408.500000,397.500000,407.000000,373.912079,897116
2013-06-17,408.200012,413.825012,405.625000,412.549988,379.010895,833418
2013-06-18,412.299988,418.450012,408.850006,411.799988,378.321869,985044
2013-06-19,410.625000,416.399994,407.750000,415.549988,381.766998,894326
2013-06-20,410.500000,410.500000,397.399994,399.600006,367.113739,1180484
2013-06-21,400.500000,405.250000,392.500000,396.950012,364.679138,1224722
2013-06-24,395.350006,398.500000,389.600006,396.649994,364.403503,1395982
2013-06-25,399.500000,409.875000,397.500000,401.899994,369.226715,1186748
2013-06-26,404.750000,407.274994,400.424988,401.274994,368.652527,467156
2013-06-27,407.500000,417.774994,407.174988,415.225006,381.468414,1254348
2013-06-28,431.500000,436.500000,422.875000,430.924988,395.892059,2030906
2013-07-01,431.000000,442.475006,429.924988,441.399994,405.515472,1117604
2013-07-02,441.500000,445.450012,434.299988,435.649994,400.232880,888776
2013-07-03,430.899994,431.975006,424.250000,425.149994,390.586578,718822
2013-07-04,427.000000,435.000000,424.000000,430.825012,395.800171,973150
2013-07-05,432.674988,442.200012,432.674988,440.100006,404.321198,1162076
2013-07-08,435.600006,436.899994,400.000000,434.149994,398.854858,537490
2013-07-09,434.899994,440.750000,433.750000,436.674988,401.174561,925968
2013-07-10,437.399994,439.850006,419.700012,428.174988,393.365631,1191648
2013-07-11,431.549988,436.750000,429.500000,435.200012,399.819550,623222
2013-07-12,436.750000,447.500000,435.000000,444.799988,408.639069,904808
2013-07-15,442.850006,449.549988,442.649994,447.875000,411.464050,816028
2013-07-16,444.000000,452.149994,441.399994,450.450012,413.829773,972038
2013-07-17,451.500000,459.350006,451.500000,457.575012,420.375519,1510688
2013-07-18,459.899994,459.950012,454.524994,458.524994,421.248260,1191130
2013-07-19,458.524994,463.950012,456.399994,461.575012,424.050293,1649104
2013-07-22,457.500000,457.625000,449.450012,454.250000,417.320831,814436
2013-07-23,456.000000,462.350006,453.575012,454.549988,417.596405,638942
2013-07-24,453.174988,458.500000,447.825012,454.299988,417.366760,648938
2013-07-25,453.000000,456.049988,442.500000,445.424988,409.213287,538852
2013-07-26,446.000000,451.750000,442.899994,444.950012,408.776886,473544
2013-07-29,444.049988,449.500000,441.375000,442.799988,406.801605,497140
2013-07-30,443.174988,446.000000,427.450012,429.424988,394.513977,648168
2013-07-31,428.674988,438.899994,421.500000,435.799988,400.370697,776462
2013-08-01,437.674988,441.000000,423.000000,425.149994,390.586578,676098
2013-08-02,429.000000,435.950012,425.000000,428.725006,393.870911,583550
2013-08-05,429.500000,435.950012,427.975006,430.450012,395.455688,424186
2013-08-06,428.075012,431.799988,415.075012,420.200012,386.039032,571642
2013-08-07,422.524994,440.350006,415.774994,435.500000,400.095154,834580
2013-08-08,434.500000,436.424988,428.875000,432.725006,397.545685,412208
2013-08-12,432.625000,435.500000,420.250000,422.649994,388.289795,499146
2013-08-13,422.575012,429.975006,417.500000,426.174988,391.528229,546124
2013-08-14,429.750000,433.825012,423.750000,432.575012,397.407928,735514
2013-08-16,433.000000,433.000000,409.024994,412.575012,379.033875,1219216
2013-08-19,410.500000,417.024994,403.575012,409.625000,376.323700,965152
2013-08-20,405.250000,414.350006,403.125000,411.325012,377.885468,791020
2013-08-21,415.649994,416.850006,389.975006,391.924988,360.062653,1056244
2013-08-22,392.500000,404.149994,387.575012,402.924988,370.168396,1196986
2013-08-23,406.000000,411.850006,404.399994,409.524994,376.231781,979934
2013-08-26,411.000000,414.899994,404.049988,410.475006,377.104553,772908
2013-08-27,407.875000,412.049988,400.000000,401.899994,369.226715,812252
2013-08-28,397.500000,409.000000,382.500000,405.575012,372.602905,1666796
2013-08-29,408.375000,426.399994,406.549988,422.674988,388.312744,1075744
2013-08-30,422.000000,429.174988,414.125000,425.774994,391.160736,893406
2013-09-02,426.149994,443.200012,426.149994,441.875000,405.951813,986130
2013-09-03,443.350006,445.375000,413.350006,415.049988,381.307648,1385750
2013-09-04,417.500000,431.850006,416.549988,424.674988,390.150146,1081498
2013-09-05,430.000000,434.450012,425.750000,430.649994,395.639404,1146840
2013-09-06,434.500000,436.475006,421.424988,433.774994,398.510315,1012120
2013-09-10,436.799988,446.049988,433.100006,444.325012,408.202698,1261408
2013-09-11,445.200012,446.250000,437.500000,443.649994,407.582581,948362
2013-09-12,444.075012,450.000000,435.000000,436.975006,401.450256,1100490
2013-09-13,434.450012,441.750000,432.625000,436.625000,401.128662,620956
2013-09-16,443.750000,443.750000,426.924988,430.825012,395.800171,985270
2013-09-17,429.250000,432.000000,426.500000,429.049988,394.169525,328272
2013-09-18,430.000000,436.649994,428.500000,435.225006,399.842529,785540
2013-09-19,442.500000,447.774994,440.000000,445.524994,409.305115,1268592
2013-09-20,443.125000,450.450012,435.000000,441.299988,405.423615,825858
2013-09-23,435.500000,440.450012,432.250000,437.299988,401.748779,861898
2013-09-24,435.200012,442.000000,434.049988,437.174988,401.634003,515756
2013-09-25,436.000000,437.000000,421.299988,424.350006,389.851624,1135448
2013-09-26,424.350006,424.725006,417.799988,419.274994,385.189178,838752
2013-09-27,421.500000,426.950012,419.000000,420.100006,385.947113,678198
2013-09-30,415.750000,422.250000,409.524994,411.174988,377.747681,749664
2013-10-01,413.399994,415.174988,409.250000,411.149994,377.724731,545628
2013-10-03,412.450012,423.950012,412.450012,423.049988,388.657318,669890
2013-10-04,421.000000,429.625000,419.100006,426.700012,392.010529,677696
2013-10-07,422.774994,426.250000,418.325012,421.924988,387.623718,577212
2013-10-08,425.000000,427.000000,419.774994,421.924988,387.623718,599192
2013-10-09,420.500000,433.450012,419.000000,430.500000,395.501648,624664
2013-10-10,428.750000,431.250000,424.125000,429.899994,394.950409,699734
2013-10-11,433.500000,434.000000,427.549988,431.500000,396.420319,827130
2013-10-14,432.000000,437.450012,431.549988,435.125000,399.750671,819838
2013-10-15,448.125000,449.500000,431.850006,433.350006,398.119904,1461700
2013-10-17,434.000000,443.850006,432.625000,439.649994,403.907776,964432
2013-10-18,441.000000,453.975006,440.375000,452.674988,415.873840,1635884
2013-10-21,452.500000,457.500000,448.375000,456.674988,419.548615,944786
2013-10-22,453.700012,455.500000,448.899994,451.799988,415.069916,705626
2013-10-23,452.000000,454.725006,444.274994,447.924988,411.510010,534320
2013-10-24,448.000000,454.975006,440.500000,442.299988,406.342346,709486
2013-10-25,442.700012,446.149994,439.575012,442.924988,406.916504,458944
2013-10-28,443.325012,452.299988,443.325012,445.100006,408.914673,770840
2013-10-29,445.049988,451.924988,441.250000,448.399994,411.946442,520372
